record_id,title,opposition_valid,oci_candidate,rel_same_construct_reversal,rel_target_reversal,rel_functional_reversal,rel_relational_reversal,rel_proxy_reversal,idx_actor_switch,idx_level_switch,idx_time_switch,idx_construct_switch,idx_environment_switch,mech_strategic_adaptive_feedback,mech_capacity_overload,mech_nonlinear_ecological_dynamics,mech_information_filtering,mech_norm_motivational_reactance,mech_exposure_induced_adaptation,mech_intervention_toxicity,mech_coordination_externality,ev_randomized_experiment,ev_quasi_experiment,ev_longitudinal_observational,ev_cross_sectional_observational,ev_formal_model,ev_simulation,ev_qualitative_process,ev_systematic_review,ev_meta_analysis,ev_conceptual_theory,evidence_strength,result_direction,normative_valence,coder_note
V211,"Deterrence, Democracy, and the Pursuit of International Justice",yes,yes,1,uncertain,1,uncertain,uncertain,uncertain,uncertain,uncertain,uncertain,uncertain,uncertain,uncertain,uncertain,uncertain,uncertain,uncertain,uncertain,uncertain,uncertain,uncertain,uncertain,uncertain,uncertain,uncertain,uncertain,uncertain,uncertain,1,weak,supports_reversal,beneficial,"Abstract argues that justice is recast as a tool for peacebuilding, indicating a functional reversal of the justice construct."
V212,Deterrence Revisited?,uncertain,uncertain,uncertain,uncertain,uncertain,uncertain,uncertain,uncertain,uncertain,uncertain,uncertain,uncertain,uncertain,uncertain,uncertain,uncertain,uncertain,uncertain,uncertain,uncertain,uncertain,uncertain,uncertain,uncertain,uncertain,uncertain,uncertain,uncertain,uncertain,uncertain,none,not_tested,not_normatively_classified,Abstract provides only bibliographic information; no substantive claim about reversal or mechanisms.
V213,The Puzzling Rally-round-the-Flag Phenomenon,no,no,0,0,0,0,0,uncertain,uncertain,uncertain,uncertain,uncertain,uncertain,uncertain,uncertain,uncertain,uncertain,uncertain,uncertain,uncertain,0,0,0,0,0,0,0,0,0,1,uncertain,not_tested,not_normatively_classified,Abstract presents a conceptual discussion of rally‑round‑the‑flag without empirical test or reversal claim.
V214,Rally Around Which Flag?: Investigation of the Impact of Sanctions on the Rally Around the Flag Effects Using Focused Group Discussion with North Korean Defectors,yes,yes,0,1,1,0,0,uncertain,uncertain,uncertain,uncertain,uncertain,uncertain,uncertain,uncertain,uncertain,uncertain,uncertain,uncertain,uncertain,0,0,0,0,0,0,0,0,0,1,uncertain,supports_reversal,uncertain,"Abstract frames sanctions as ineffective despite expectations, constituting a target and functional reversal."
V215,Political trust during the Covid-19 pandemic: Rally around the flag or lockdown effects?,yes,yes,0,1,1,0,0,uncertain,uncertain,uncertain,uncertain,uncertain,uncertain,uncertain,uncertain,uncertain,uncertain,uncertain,uncertain,uncertain,0,0,0,1,0,0,0,0,0,0,moderate,supports_reversal,uncertain,"Empirical survey finds lockdown effect disappears and pandemic infections increase political trust, supporting a reversal of expected causal direction."
V216,The Safe Development Paradox in Flood Risk Management: A Critical Review,yes,yes,uncertain,1,1,uncertain,uncertain,uncertain,uncertain,uncertain,uncertain,uncertain,1,uncertain,uncertain,uncertain,uncertain,uncertain,uncertain,uncertain,uncertain,uncertain,uncertain,uncertain,uncertain,uncertain,uncertain,1,uncertain,uncertain,moderate,supports_reversal,harmful,
V217,Efficiency Without Trust: The Jevons' Paradox Compounded,yes,yes,uncertain,1,1,uncertain,uncertain,1,uncertain,uncertain,uncertain,uncertain,1,1,uncertain,uncertain,uncertain,uncertain,uncertain,uncertain,uncertain,uncertain,uncertain,uncertain,uncertain,uncertain,uncertain,uncertain,uncertain,1,weak,supports_reversal,harmful,
V218,From Efficiency Gains to Rebound Effects: The Problem of Jevons' Paradox in AI's Polarized Environmental Debate,yes,yes,uncertain,1,1,uncertain,uncertain,uncertain,uncertain,uncertain,uncertain,uncertain,uncertain,uncertain,uncertain,uncertain,uncertain,uncertain,uncertain,uncertain,uncertain,uncertain,uncertain,uncertain,uncertain,uncertain,uncertain,uncertain,uncertain,1,weak,supports_reversal,harmful,
V219,"Unraveling the Complexity of the Jevons Paradox: The Link Between Innovation, Efficiency, and Sustainability",yes,yes,uncertain,uncertain,1,uncertain,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,weak,supports_reversal,not_normatively_classified,"The abstract discusses the Jevons Paradox as a functional reversal (efficiency → higher consumption) and introduces multi‑scale theoretical constructs, qualifying it as an OCI candidate."
V220,Energy Rebound as a Potential Threat to a Low-Carbon Future: Findings from a New Exergy-Based National-Level Rebound Approach,yes,yes,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,moderate,supports_reversal,harmful,"Empirical exergy‑based estimates show large rebound (backfire) in China, a clear functional reversal of efficiency gains."
V221,Fluency heuristic: A model of how the mind exploits a by-product of information retrieval.,no,no,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,strong,not_tested,not_normatively_classified,The paper tests the fluency heuristic; no reversal claim is present.
V222,When “Less Is More”: How Statistical Discrimination Can Decrease Predictive Accuracy,yes,yes,uncertain,uncertain,1,uncertain,uncertain,uncertain,uncertain,uncertain,uncertain,uncertain,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,uncertain,supports_reversal,beneficial,
V223,Less-is-more effects without the recognition heuristic,yes,yes,uncertain,uncertain,1,uncertain,uncertain,uncertain,uncertain,uncertain,uncertain,uncertain,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,uncertain,supports_reversal,not_normatively_classified,
V224,Models of ecological rationality: The recognition heuristic.,yes,yes,uncertain,uncertain,1,uncertain,uncertain,uncertain,uncertain,uncertain,uncertain,uncertain,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,uncertain,supports_reversal,beneficial,
V225,Choosing not to see: Visual inattention as a method of information avoidance,yes,yes,1,uncertain,1,uncertain,uncertain,0,0,0,0,0,uncertain,0,0,1,0,0,0,0,uncertain,uncertain,0,0,0,0,0,0,0,0,moderate,supports_reversal,mixed,"Study shows opposite attentional directions for desired vs avoided information, indicating a functional reversal of attention."
V226,"Dead rats, dopamine, performance metrics, and peacock tails: Proxy failure is an inherent risk in goal-oriented systems",yes,yes,1,uncertain,uncertain,uncertain,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,weak,supports_reversal,harmful,"Paper proposes a proxy‑failure mechanism where using an imperfect proxy as a target makes the proxy a worse approximation of the goal, a reversal of its intended function."
V227,Building Less Flawed Metrics: Dodging Goodhart and Campbell's Laws,no,no,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,weak,not_tested,beneficial,Discusses design of metrics to avoid Goodhart‑type distortions; does not present an explicit reversal claim.
V228,Resolving capability-rigidity paradox: An alliance-oriented perspective,yes,yes,1,uncertain,1,uncertain,uncertain,1,0,0,0,0,uncertain,uncertain,uncertain,uncertain,uncertain,uncertain,uncertain,1,uncertain,uncertain,uncertain,uncertain,uncertain,uncertain,uncertain,uncertain,uncertain,uncertain,moderate,supports_reversal,beneficial,Abstract reports alliance orientation resolves capability‑rigidity paradox by enabling simultaneous exploitative and exploratory capabilities; indicates functional reversal and coordination externality.
V229,Conversations and Inspirations for Organizational Paradox Scholarship,no,no,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,weak,not_tested,not_normatively_classified,Paper discusses inspirations for paradox scholarship; no reversal claim or causal mechanism is presented.
V230,Paradox and Quantum Mechanics: Implications for the Management of Organizational Paradox from a Quantum Approach,no,no,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,moderate,not_tested,not_normatively_classified,Proposes a quantum‑inspired ontological approach to organizational paradox; does not present a reversal claim.
