record_id,title,opposition_valid,oci_candidate,rel_same_construct_reversal,rel_target_reversal,rel_functional_reversal,rel_relational_reversal,rel_proxy_reversal,idx_actor_switch,idx_level_switch,idx_time_switch,idx_construct_switch,idx_environment_switch,mech_strategic_adaptive_feedback,mech_capacity_overload,mech_nonlinear_ecological_dynamics,mech_information_filtering,mech_norm_motivational_reactance,mech_exposure_induced_adaptation,mech_intervention_toxicity,mech_coordination_externality,ev_randomized_experiment,ev_quasi_experiment,ev_longitudinal_observational,ev_cross_sectional_observational,ev_formal_model,ev_simulation,ev_qualitative_process,ev_systematic_review,ev_meta_analysis,ev_conceptual_theory,evidence_strength,result_direction,normative_valence,coder_note
V213,The Puzzling Rally-round-the-Flag Phenomenon,no,no,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,none,not_tested,not_normatively_classified,
V214,Rally Around Which Flag?: Investigation of the Impact of Sanctions on the Rally Around the Flag Effects Using Focused Group Discussion with North Korean Defectors,uncertain,uncertain,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,uncertain,uncertain,not_normatively_classified,
V215,Political trust during the Covid-19 pandemic: Rally around the flag or lockdown effects?,no,no,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,moderate,not_tested,not_normatively_classified,
V216,The Safe Development Paradox in Flood Risk Management: A Critical Review,yes,yes,uncertain,1,1,uncertain,uncertain,uncertain,uncertain,uncertain,uncertain,uncertain,1,uncertain,uncertain,uncertain,uncertain,uncertain,uncertain,uncertain,uncertain,uncertain,uncertain,uncertain,uncertain,uncertain,uncertain,uncertain,uncertain,uncertain,moderate,supports_reversal,harmful,
V217,Efficiency Without Trust: The Jevons' Paradox Compounded,yes,yes,uncertain,1,1,uncertain,uncertain,uncertain,uncertain,uncertain,uncertain,uncertain,1,uncertain,uncertain,uncertain,uncertain,uncertain,uncertain,1,uncertain,uncertain,uncertain,uncertain,uncertain,uncertain,uncertain,uncertain,uncertain,1,weak,supports_reversal,harmful,
V218,From Efficiency Gains to Rebound Effects: The Problem of Jevons' Paradox in AI's Polarized Environmental Debate,yes,yes,uncertain,1,1,uncertain,uncertain,uncertain,uncertain,uncertain,uncertain,uncertain,1,uncertain,uncertain,uncertain,uncertain,uncertain,uncertain,1,uncertain,uncertain,uncertain,uncertain,uncertain,uncertain,uncertain,uncertain,uncertain,1,moderate,supports_reversal,harmful,
V219,"Unraveling the Complexity of the Jevons Paradox: The Link Between Innovation, Efficiency, and Sustainability",yes,yes,uncertain,uncertain,1,uncertain,uncertain,uncertain,1,uncertain,1,uncertain,uncertain,uncertain,1,uncertain,uncertain,uncertain,uncertain,1,uncertain,uncertain,uncertain,uncertain,uncertain,uncertain,uncertain,uncertain,uncertain,1,weak,supports_reversal,harmful,Theoretical discussion of Jevons paradox using complex adaptive systems and holarchy.
V220,Energy Rebound as a Potential Threat to a Low-Carbon Future: Findings from a New Exergy-Based National-Level Rebound Approach,yes,yes,uncertain,uncertain,1,uncertain,uncertain,uncertain,uncertain,1,uncertain,uncertain,1,uncertain,uncertain,uncertain,uncertain,uncertain,uncertain,uncertain,uncertain,uncertain,1,uncertain,uncertain,uncertain,uncertain,uncertain,uncertain,uncertain,moderate,supports_reversal,harmful,Empirical longitudinal analysis of national energy rebound showing backfire in China.
V221,Fluency heuristic: A model of how the mind exploits a by-product of information retrieval.,no,no,0,0,0,0,0,uncertain,uncertain,uncertain,uncertain,uncertain,uncertain,uncertain,uncertain,uncertain,uncertain,uncertain,uncertain,uncertain,1,uncertain,uncertain,uncertain,uncertain,uncertain,uncertain,uncertain,uncertain,uncertain,moderate,not_tested,beneficial,Experimental evidence for fluency heuristic; no reversal claim.
V222,When “Less Is More”: How Statistical Discrimination Can Decrease Predictive Accuracy,yes,yes,0,0,1,0,0,uncertain,uncertain,uncertain,uncertain,uncertain,uncertain,uncertain,uncertain,uncertain,uncertain,uncertain,uncertain,uncertain,uncertain,uncertain,uncertain,uncertain,1,uncertain,uncertain,uncertain,uncertain,uncertain,moderate,supports_reversal,harmful,
V223,Less-is-more effects without the recognition heuristic,yes,yes,0,0,1,0,0,uncertain,uncertain,uncertain,uncertain,uncertain,uncertain,uncertain,uncertain,uncertain,uncertain,uncertain,uncertain,uncertain,uncertain,uncertain,uncertain,uncertain,1,uncertain,uncertain,uncertain,uncertain,uncertain,moderate,supports_reversal,harmful,
V224,Models of ecological rationality: The recognition heuristic.,yes,yes,0,0,1,0,0,uncertain,uncertain,uncertain,uncertain,uncertain,uncertain,uncertain,uncertain,uncertain,uncertain,uncertain,uncertain,uncertain,uncertain,uncertain,uncertain,uncertain,uncertain,uncertain,uncertain,uncertain,uncertain,1,moderate,supports_reversal,beneficial,
V225,Choosing not to see: Visual inattention as a method of information avoidance,no,no,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,uncertain,uncertain,uncertain,uncertain,uncertain,uncertain,uncertain,uncertain,uncertain,uncertain,strong,not_tested,not_normatively_classified,
V226,"Dead rats, dopamine, performance metrics, and peacock tails: Proxy failure is an inherent risk in goal-oriented systems",yes,yes,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,uncertain,uncertain,uncertain,uncertain,uncertain,uncertain,uncertain,uncertain,uncertain,1,weak,supports_reversal,harmful,
V227,Building Less Flawed Metrics: Dodging Goodhart and Campbell's Laws,yes,yes,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,uncertain,uncertain,uncertain,uncertain,uncertain,uncertain,uncertain,uncertain,uncertain,1,weak,supports_reversal,harmful,
V228,Resolving capability-rigidity paradox: An alliance-oriented perspective,no,no,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,uncertain,uncertain,uncertain,uncertain,uncertain,uncertain,uncertain,uncertain,uncertain,uncertain,uncertain,not_tested,beneficial,
V229,Conversations and Inspirations for Organizational Paradox Scholarship,no,no,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,none,not_tested,not_normatively_classified,
V230,Paradox and Quantum Mechanics: Implications for the Management of Organizational Paradox from a Quantum Approach,no,no,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,none,not_tested,not_normatively_classified,
