person_id,canonical_name,birth_year,death_year,first_status,first_ids,first_reviewer,first_notes,second_status,second_ids,second_notes,ids_only_first,ids_only_second,disagreement_type,wikidata_qid,orcid,candidate_ids_in_packet,retrieved_extra_author_ids,adjudicated_status,adjudicated_ids,adjudicator,additional_retrieval_needed,adjudication_rationale
cv_Q23059458,Minoo Lenarz,1966,2015,VERIFIED_SINGLE,A5073627948,ARIS4C pre-exposure evidence review,MH-blind first review: otolaryngology authority and cochlear-implant/auditory-implant works concordant; probable namesake work requires P3 filtering.,VERIFIED_CLUSTER,A5073627948;A5106979614,"Evidence: Wikidata lists otolaryngology professor. OpenAlex A5073627948 matches name, field, many cochlear‑implant works; A5106979614 same name variant with related surgical paper. No conflicts. Sources: Wikidata Q23059458; OpenAlex A5073627948; A5106979614.",,A5106979614,state,Q23059458,,A5073627948;A5106979614,,,,,,
cv_Q19850025,Oskar Simony,1852,1915,VERIFIED_CLUSTER,A5012920577;A5071357435,ARIS4C pre-exposure evidence review,MH-blind first review: two contemporary topology manifestations concordant with mathematician authority; P3 deduplication required.,VERIFIED_CLUSTER,A5012920577;A5071357435;A5149748217,"Evidence: Wikidata lists mathematician, physicist, explorer, botanist (1852‑1915). OpenAlex A5012920577 and A5071357435 share identical topology paper (duplicate); A5149748217 on wood measurement aligns with botanist/engineering interests. All refer to same Oskar Simony. Sources: Wikidata Q19850025; OpenAlex A5012920577; A5071357435; A5149748217.",,A5149748217,id_set_only,Q19850025,,A5012920577;A5071357435;A5149748217,,,,,,
cv_Q3385700,Pierre L. G. Benoit,1920,1995,VERIFIED_CLUSTER,A5063335980;A5133441731,ARIS4C pre-exposure evidence review,MH-blind first review: zoology/arachnology fragments are temporally and topically concordant.,VERIFIED_CLUSTER,A5063335980;A5072950904;A5133441731,"Evidence: Wikidata shows Belgian zoologist/arachnologist (1920‑1995). OpenAlex IDs A5063335980, A5072950904, A5133441731 all publish African insect/arachnid works (1956‑1986) matching field and era. No conflicting affiliations. Sources: OpenAlex author pages, VIAF.",,A5072950904,id_set_only,Q3385700,,A5063335980;A5072950904;A5133441731,,,,,,
cv_Q2641681,Alexander Aigner,1909,1988,VERIFIED_CLUSTER,A5035950863;A5100268971;A5103302324;A5104375058;A5104676356;A5104740538;A5104793263,ARIS4C pre-exposure evidence review,MH-blind first review: Austrian mathematician/number-theory fragments concordant; post-2018 namesakes excluded and mixed main fragment requires P3 cleanup.,AMBIGUOUS_COLLISION,,"Evidence: Wikidata identifies Austrian mathematician (1909‑1988). OpenAlex ID A5035950863 contains his 1950s‑60s math papers but also many unrelated cardiology works, indicating a merged profile. Separate math‑only IDs exist (A5103302324, A5100268971) but are fragmentary. Cannot isolate full identity confidently.",A5035950863;A5100268971;A5103302324;A5104375058;A5104676356;A5104740538;A5104793263,,state,Q2641681,,A5035950863;A5041848238;A5052619112;A5100268971;A5103302324;A5104375058;A5104740538;A5105961941,A5104676356;A5104793263,,,,,
cv_Q7416679,Sandra Leiblum,1943,2010,VERIFIED_CLUSTER,A5006728685;A5075417166,ARIS4C pre-exposure evidence review,MH-blind first review: psychologist/sex-education authority and sexual-health/psychology fragments concordant. Deterministic MH-blind work audit passed all 12 sampled works including all accepted fragment anchors; released under network100 person-work gate v1.,VERIFIED_SINGLE,A5075417166,"Evidence: Wikidata lists Sandra Leiblum (1943‑2010), psychologist/sex educator. OpenAlex author A5075417166 has extensive sexual dysfunction publications matching her known work. Other ID A5006728685 shows unrelated 1967 memory paper, likely a different Sandra. Chosen best match.",A5006728685,,state,Q7416679,,A5006728685;A5017048485;A5075417166,,,,,,
cv_Q104271,Michael Theunissen,1932,2015,VERIFIED_CLUSTER,A5005844820;A5067845805,ARIS4C pre-exposure evidence review,MH-blind first review: philosopher authority and core philosophy/Schelling works concordant; climate namesake and weak container fragments excluded.,VERIFIED_SINGLE,A5067845805,"Evidence: Wikidata: Michael Theunissen (1932‑2015), German philosopher. OpenAlex author A5067845805 publishes philosophy works (Nietzsche, Husserl, Heidegger) matching field and dates. Other IDs have unrelated science or AI topics, indicating collisions. Selected correct philosopher profile.",A5005844820,,state,Q104271,,A5005844820;A5055608502;A5067845805;A5094083466;A5099387652;A5099898652;A5104447132;A5120243679,,,,,,
cv_Q47216729,Alfonso W. Quiroz,1956,2013,VERIFIED_CLUSTER,A5073210039;A5096507866;A5110164869,ARIS4C pre-exposure evidence review,MH-blind first review: Peruvian historian authority and economic-history fragments concordant; small temporal outliers require P3 cleanup. Deterministic MH-blind work audit passed all 12 sampled works including all accepted fragment anchors; released under network100 person-work gate v1.,VERIFIED_SINGLE,A5073210039,"Evidence: VIAF 34528358, historian, Peru. OpenAlex: ORCID present, works on Peruvian history, topics match. Conflicts: other IDs are different fields. Sources: VIAF, OpenAlex.",A5096507866;A5110164869,,state,Q47216729,,A5004667929;A5073210039;A5096507866;A5110164869,,,,,,
cv_Q1912572,Max Gerlach,1861,1940,AMBIGUOUS_COLLISION,,ARIS4C pre-exposure evidence review,MH-blind first review: every plausible OpenAlex fragment is dated 1993-2026 and incompatible with the 1861-1940 chemist.,NO_GRAPH_RECORD,,"Evidence: VIAF 80774160, chemist 1861‑1940. OpenAlex candidates are modern biomedical or physics authors, none match historic chemistry. Conflicts: candidate topics/years incompatible. Sources: VIAF, OpenAlex.",,,state,Q1912572,,A5038006102;A5103388211;A5126836561;A5127366634,,,,,,
cv_Q16945536,Algot Werin,1892,1975,VERIFIED_CLUSTER,A5040398759;A5076154763,ARIS4C pre-exposure evidence review,MH-blind first review: two lifetime Swedish literary-history fragments concordant.,VERIFIED_CLUSTER,A5040398759;A5076154763;A5148273427,"Evidence: Wikidata lists Werin as literary historian (1892‑1975). OpenAlex IDs A5040398759 (1962 Ekelund), A5076154763 (1938 Idealism), A5148273427 (editorial Samlade skrifter) match his field and career dates. A5045229833 focuses German literature, likely a different scholar. Sources: OpenAlex author pages, VIAF 52493591.",,A5148273427,id_set_only,Q16945536,,A5040398759;A5045229833;A5076154763;A5148273427,,,,,,
cv_Q594723,Anton Tautscher,1906,1976,VERIFIED_CLUSTER,A5028266044;A5074476770;A5081201328,ARIS4C pre-exposure evidence review,MH-blind first review: Austrian economist authority and economics fragments concordant. Complete MH-blind explicit review covered every plausible work; all unresolved duplicate/wrong-author/container manifestations were adjudicated and >=5 KEEP works remain; released under network100 full-work gate v1.,VERIFIED_CLUSTER,A5028266044;A5074476770,"Evidence: Wikidata shows Tautscher as Austrian economist (1906‑1976). OpenAlex A5028266044 (13 econ works 1941‑1978) and A5074476770 (1961 handbook) align with his career. A5081201328 (Spanish labor‑law focus) mismatches field, excluded. Sources: OpenAlex author pages, VIAF 29904772.",A5081201328,,id_set_only,Q594723,,A5028266044;A5074476770;A5081201328,,,,,,
cv_Q5294283,Donald E. Graves,1929,2008,EXCLUDED_IDENTITY_ERROR,,ARIS4C pre-exposure evidence review,MH-blind first review: candidate is the 1929-2008 U.S. intelligence analyst; candidate OpenAlex leads correspond to the distinct Canadian War-of-1812 military historian and other namesakes.,NO_GRAPH_RECORD,,"Evidence: Wikidata describes Graves as American intelligence analyst (1929‑2008). All OpenAlex candidates (A5078823003, A5099221401, A5099041810) publish Canadian‑history works, unrelated to intelligence analysis. No suitable OpenAlex record found. Sources: OpenAlex author pages, Wikidata.",,,state,Q5294283,,A5078823003;A5099041810;A5099221401,,,,,,
cv_Q1393663,Peter Rice,1935,1992,AMBIGUOUS_COLLISION,,ARIS4C automated pre-exposure triage,MH-blind identity100 initialization; review_class=possible_name_collision_conflicting_orcid; plausible_openalex_ids=https://openalex.org/A5007862849;https://openalex.org/A5110351831;https://openalex.org/A5072681618;https://openalex.org/A5111371099;https://openalex.org/A5109116797;https://openalex.org/A5042730834;https://openalex.org/A5032310267;https://openalex.org/A5091854637,NO_GRAPH_RECORD,,"Evidence: Wikidata describes Irish structural engineer (1935‑1992). OpenAlex candidates are in bioinformatics, immunology, chemistry, not engineering. No matching author record. Conflicts: none. Sources: Wikidata Q1393663, OpenAlex author list.",,,state,Q1393663,,A5032310267;A5042730834;A5049921601;A5091854637;A5109116797;A5109566506;A5110351831;A5111371099,,,,,,
cv_Q15440160,Hans Arnsperger,1872,1955,VERIFIED_CLUSTER,A5011649383;A5098595922,ARIS4C pre-exposure evidence review,MH-blind first review: German internist authority and contemporary internal-medicine fragments concordant.,VERIFIED_CLUSTER,A5011649383;A5014453695;A5098595922,"Evidence: VIAF, ISNI list internist. OpenAlex: three IDs (Hans Arnsperger, Hans Arnsperger, Hans Emil Rudolph Arnsperger) have early 1900s medical imaging works consistent with internist career. Conflicts: none. Sources: VIAF 171930742, OpenAlex author pages.",,A5014453695,id_set_only,Q15440160,,A5011649383;A5014453695;A5098595922,,,,,,
