person_id,canonical_name,first_status,second_status,adjudicated_status,adjudicated_ids,ids_only_in_first,ids_only_in_second,evidence_for_first,evidence_for_second,deciding_evidence,retrieval_needed,retrieval_spec,normalization_note,invented_ids_dropped,adjudicator,adjudicated_at
cv_Q23059458,Minoo Lenarz,VERIFIED_SINGLE,VERIFIED_CLUSTER,VERIFIED_CLUSTER,A5073627948;A5106979614,,A5106979614,"First review accepted only the main author ID, considering the single-work variant insufficient for verification.","Second review added the variant ID; both share name, otolaryngology field, and ear-surgery work, with no conflicts.","The variant's mastoidectomy work matches otolaryngology, confirming same person despite different affiliation suffix.",false,,,,"AI:nemotron-3-super-120b (isolated adjudication surface, temperature 0)",2026-09-19
cv_Q19850025,Oskar Simony,VERIFIED_CLUSTER,VERIFIED_CLUSTER,VERIFIED_CLUSTER,A5012920577;A5071357435;A5149748217,,A5149748217,"First review verified the two topology works as a cluster, deeming the wood work insufficiently linked.","Second review added the wood-measurement work, noting it aligns with the person's botanist/explorer background.","The wood work's subject matches Oskar Simony's botany/explorer activities, and the name includes his lifespan, indicating same person.",false,,,,"AI:nemotron-3-super-120b (isolated adjudication surface, temperature 0)",2026-09-19
cv_Q3385700,Pierre L. G. Benoit,VERIFIED_CLUSTER,VERIFIED_CLUSTER,VERIFIED_CLUSTER,A5063335980;A5072950904;A5133441731,,A5072950904,First review noted temporal and topical concordance of zoology/arachnology works across A5063335980 and A5133441731.,Second review added A5072950904 based on Wikidata (Belgian zoologist 1920‑1995) and OpenAlex IDs publishing African insect/arachnid works 1956‑1986 matching field and era.,"All three IDs share name variants, entomology/arachnology topics, publication dates 1956‑1986, and lack conflicting identifiers; thus A5072950904 is another fragment of the same person, justifying a three‑ID cluster.",false,,,,"AI:nemotron-3-super-120b (isolated adjudication surface, temperature 0)",2026-09-19
cv_Q2641681,Alexander Aigner,VERIFIED_CLUSTER,AMBIGUOUS_COLLISION,AMBIGUOUS_COLLISION,,A5035950863;A5100268971;A5103302324;A5104375058;A5104676356;A5104740538;A5104793263,,First review considered Austrian mathematician/number‑theory fragments (including A5035950863) as temporally and topically concordant.,"Second review noted A5035950863 contains many cardiology works unrelated to mathematics, indicating a merged profile; separate math‑only IDs remain fragmentary.","Cardiology publications (post‑2000) in A5035950863 conflict with the mathematician’s 1909‑1988 lifespan and field, showing a different same‑name person; thus records cannot be safely merged, warranting AMBIGUOUS_COLLISION.",false,,,,"AI:nemotron-3-super-120b (isolated adjudication surface, temperature 0)",2026-09-19
cv_Q7416679,Sandra Leiblum,VERIFIED_CLUSTER,VERIFIED_SINGLE,VERIFIED_SINGLE,A5075417166,A5006728685,,First review judged psychologist/sex‑education authority and sexual‑health/psychology fragments (A5006728685 & A5075417166) as concordant.,"Second review found A5006728685’s 1967 memory paper unrelated to Leiblum’s known work, likely a different Sandra; selected A5075417166 as best match.","Packet lacks strong identifiers or independent bibliographic signals beyond name for A5006728685; the 1967 memory paper lacks clear linkage to Leiblum’s psychology profile, creating uncertainty per protocol.",true,"Need institutional affiliation, coauthor confirmation, or external identifier (e.g., ORCID) linking Sandra Leiblum to the 1967 memory paper or 2002 sexual dysfunction paper.",,,"AI:nemotron-3-super-120b (isolated adjudication surface, temperature 0)",2026-09-19
cv_Q104271,Michael Theunissen,VERIFIED_CLUSTER,VERIFIED_SINGLE,VERIFIED_CLUSTER,A5005844820;A5067845805,A5005844820,,"First review cited philosopher authority and core philosophy/Schelling works concordant, excluding climate namesake and weak container fragments.",Second review selected A5067845805 based on Wikidata philosopher profile and matching philosophy works; other IDs showed unrelated science/AI topics.,"Work A5005844820 (Schellings anthropologischer Ansatz, 1965) matches philosophy field and career dates, providing fragment-linking signal; no conflicting ORCID or career period.",false,,,,"AI:nemotron-3-super-120b (isolated adjudication surface, temperature 0)",2026-09-19
cv_Q47216729,Alfonso W. Quiroz,VERIFIED_CLUSTER,VERIFIED_SINGLE,VERIFIED_CLUSTER,A5073210039;A5110164869,A5096507866;A5110164869,,"First review noted Peruvian historian authority and economic-history fragments concordant, noting small temporal outliers need P3 cleanup.","Second review chose A5073210039 using VIAF historian ID, ORCID, Peruvian history works; other IDs were different fields.","A5110164869 work on Peruvian economic history (1884-1930) links to historian; A5096507866 work topics health/disability lack historian link, indicating different person.",false,,,,"AI:nemotron-3-super-120b (isolated adjudication surface, temperature 0)",2026-09-19
cv_Q1912572,Max Gerlach,AMBIGUOUS_COLLISION,NO_GRAPH_RECORD,AMBIGUOUS_COLLISION,,,,"First review found all OpenAlex fragments dated 1993-2026, incompatible with 1861-1940 chemist, indicating collision.","Second review saw modern biomedical/physics OpenAlex candidates, none matching historic chemistry, and deemed no graph record.","OpenAlex records exist (e.g., A5038006102) but their recent dates and topics conflict with the chemist's lifespan and field, showing same-name different people, not missing record.",false,,,,"AI:nemotron-3-super-120b (isolated adjudication surface, temperature 0)",2026-09-19
cv_Q16945536,Algot Werin,VERIFIED_CLUSTER,VERIFIED_CLUSTER,VERIFIED_CLUSTER,A5040398759;A5076154763;A5148273427,,A5148273427,"First review omitted A5148273427, considering insufficient evidence beyond name match to link the editorial work to Werin.","Second review added A5148273427 based on Werin's literary historian role, career dates, and editorial work matching his field.","The editorial work 'Samlade skrifter' edited by Werin aligns with his literary historian occupation and lifespan, providing a bibliographic concordance signal beyond name, supporting inclusion.",false,,,,"AI:nemotron-3-super-120b (isolated adjudication surface, temperature 0)",2026-09-19
cv_Q594723,Anton Tautscher,VERIFIED_CLUSTER,VERIFIED_CLUSTER,VERIFIED_CLUSTER,A5028266044;A5074476770,A5081201328,,First review included A5081201328 relying mainly on name match ('Antón Tautscher') without checking field compatibility.,"Second review excluded A5081201328 because its Spanish labor‑law focus mismatches Tautscher's Austrian economics profile, indicating a different person.","The work's topic (labor law) and lack of coauthor/institution overlap with Tautscher's economic publications show it belongs to a distinct namesake, not the economist.",false,,,,"AI:nemotron-3-super-120b (isolated adjudication surface, temperature 0)",2026-09-19
cv_Q5294283,Donald E. Graves,EXCLUDED_IDENTITY_ERROR,NO_GRAPH_RECORD,EXCLUDED_IDENTITY_ERROR,,,,"First review labeled it EXCLUDED_IDENTITY_ERROR after showing OpenAlex candidates match a Canadian historian, not the US intelligence analyst.","Second review returned NO_GRAPH_RECORD, deeming the retrieved OpenAlex records unusable for the intelligence analyst due to topical mismatch.","The OpenAlex records pertain to Canadian‑history topics, confirming they are not the intelligence analyst; thus the earlier match was erroneous, warranting EXCLUDED_IDENTITY_ERROR.",false,,,,"AI:nemotron-3-super-120b (isolated adjudication surface, temperature 0)",2026-09-19
cv_Q1393663,Peter Rice,AMBIGUOUS_COLLISION,NO_GRAPH_RECORD,NO_GRAPH_RECORD,,,,"First review flagged multiple OpenAlex authors named Peter Rice with no clear distinction, suggesting a possible name collision.","Wikidata identifies Irish structural engineer (1935‑1992); OpenAlex candidates are in bioinformatics/immunology with works after 1992, showing no match.","The intended person's engineering career and 1935‑1992 lifespan conflict with the OpenAlex authors' biomedical fields and post‑1992 publications, confirming no graph record for this person.",false,,,,"AI:nemotron-3-super-120b (isolated adjudication surface, temperature 0)",2026-09-19
cv_Q15440160,Hans Arnsperger,VERIFIED_CLUSTER,VERIFIED_CLUSTER,VERIFIED_CLUSTER,A5011649383;A5014453695;A5098595922,,A5014453695,"First review verified two IDs (A5011649383, A5098595922) with early 1900s medical works consistent with Hans Arnsperger's internist career.",Second review added A5014453695 after seeing identical work titles (1909 Roentgen study) and VIAF/ISNI linking the name variant to the same internist.,"The duplicate 1909 Roentgen work across A5098595922 and A5014453695 confirms they are the same person, so all three IDs belong to Hans Arnsperger.",false,,,,"AI:nemotron-3-super-120b (isolated adjudication surface, temperature 0)",2026-09-19
