motif_id,family,label,axis,analysis_role,inclusion_rule,exclusion_rule,origin,mutually_exclusive_with,status
COS_EGG_CONTAINER,cosmogony,Cosmic egg/container,initial_container,secondary_generalization,The cosmos or major primordial beings emerge from an egg-like enclosed primordial container explicitly functioning as a generative vessel.,Any ordinary egg birth or metaphorical roundness alone does not count.,v0.2_refined_COS_03,,draft_frozen_for_bundle_design
COS_BODY_TO_WORLD,cosmogony,Primordial body becomes world,cosmic_material,secondary_generalization,Body parts/material of a primordial being become structural components of the world/cosmos.,Human/social groups from a body are anthropogony; defeated-enemy body in a conflict may also satisfy the narrower DIV_BODY_TO_COSMOS and must be tagged as a cross-family linked event.,v0.2_refined_COS_04,,draft_frozen_for_bundle_design
COS_AXIS,cosmogony,Cosmic axis connects levels,cosmic_structure,secondary_generalization,"A tree, mountain, pillar, rope, ladder, or equivalent structure explicitly connects two or more cosmic levels.",A sacred mountain/tree without a connecting function does not count.,v0.2_refined_COS_05,,draft_frozen_for_bundle_design
COS_ORDER_FROM_UNDIFFERENTIATED,cosmogony,Order from undifferentiated state,initial_state,secondary_generalization,The narrative explicitly contrasts an earlier unseparated/formless/undifferentiated state with a later differentiated cosmic order.,Researcher-imposed labels such as 'chaos' without textual structural contrast do not count.,v0.2_debias_COS_06,,draft_frozen_for_bundle_design
COS_SPEECH_CREATION,cosmogony,Speech/decree creates cosmic entities,creative_mechanism,secondary_generalization,"Speech, naming, or decree directly brings cosmic entities/structures into existence.",Speech merely announces or commands a separate physical creation process does not count.,v0.2_refined_COS_07,,draft_frozen_for_bundle_design
COS_LAYERED_REALMS,cosmogony,Explicit layered cosmos,cosmic_structure,secondary_generalization,"The narrative explicitly distinguishes at least three ordered cosmic realms/levels such as sky, earth, underworld.",A binary heaven-earth contrast alone does not count.,v0.2_refined_COS_08,,draft_frozen_for_bundle_design
DIV_SUCCESSION_YOUNGER_OLDER,divine_conflict,Younger divine generation displaces older,succession_direction,primary_confirmatory,"A younger divine generation or younger deity actually defeats, displaces, or is acclaimed/decreed as having displaced an older ruling divine generation.","A merely foretold, feared or potential future displacement does not count; direction is fixed to younger displacing older.",v0.1.1_anchor,,draft_frozen_for_bundle_design
DIV_FATHER_SON,divine_conflict,Father-son succession conflict,kinship_structure,primary_confirmatory,Divine kingship/supremacy conflict is explicitly structured between a father and his son as the principal opposing parties.,A paternal plot frame or other kinship relation does not count unless the actual opposing parties are father and son.,v0.1.1_anchor,,draft_frozen_for_bundle_design
DIV_STORM_SERPENT,divine_conflict,Storm deity versus serpent/dragon,opponent_type,primary_confirmatory,A storm/thunder-associated deity battles a serpent/dragon/serpentine adversary.,Sea deity without serpent/dragon identity is separate.,v0.1.1_anchor,DIV_STORM_SEA,draft_frozen_for_bundle_design
DIV_STORM_SEA,divine_conflict,Storm deity versus sea/water deity,opponent_type,primary_confirmatory,A storm/thunder-associated deity battles a personified sea/water deity or sovereign aquatic opponent.,Serpent/dragon opponent is separate unless text explicitly identifies both.,v0.1.1_anchor,DIV_STORM_SERPENT,draft_frozen_for_bundle_design
DIV_BODY_TO_COSMOS,divine_conflict,Defeated being becomes cosmos,defeat_consequence,primary_confirmatory,Material from a defeated primordial/divine opponent becomes components of world/cosmos.,Death of enemy alone does not count.,v0.1.1_anchor,,draft_frozen_for_bundle_design
DIV_COUNCIL,divine_conflict,Divine council deliberation,collective_governance,primary_confirmatory,"A plurality of gods explicitly acts as a collective deliberative/judicial body to decide, judge, assign roles or allocate authority.",A mere list/group of gods or private counsel among a small set of related deities does not count.,v0.1.1_anchor,,draft_frozen_for_bundle_design
DIV_KINGSHIP_TRANSFER,divine_conflict,Transfer of divine kingship,sovereignty_outcome,primary_confirmatory,Legitimate divine kingship/sovereignty is narrated or acclaimed as actually transferred between deities or generations.,"Victory without sovereignty transfer, or a transfer only foretold/feared but not effected in the locator, does not count.",v0.1.1_anchor,,draft_frozen_for_bundle_design
DIV_PRIMORDIAL_REBELLION,divine_conflict,Primordial divine rebellion,conflict_role,primary_confirmatory,"Inside the frozen locator, subordinate/younger divine beings explicitly act in insubordination or rebellion against established divine authority.","Retrospective references, external episodes, monster attacks, or sovereign combat lacking an insubordination frame do not count.",v0.1.1_anchor,,draft_frozen_for_bundle_design
DIV_STOLEN_POWER_SYMBOL,divine_conflict,Divine authority object/power seized,sovereignty_mechanism,primary_confirmatory,"A concrete symbol, object, named power, office-token, or explicitly transferable authority of divine rule is stolen, seized, or illicitly appropriated.","Generic victory, ordinary weapon theft, or legitimate kingship transfer without seizure does not count.",v0.2_refined_DIV_06,,draft_frozen_for_bundle_design
MORT_IMMORTALITY_INTERCEPTED,mortality,Immortality-giving message/object intercepted,loss_mechanism,secondary_generalization,"An immortality/rejuvenation opportunity is lost because a message, object, substance, or agent is diverted, stolen, substituted, or intercepted.",A hero simply fails a quest or violates a prohibition without interception does not count.,v0.2_refined_MORT_02,,draft_frozen_for_bundle_design
MORT_SNAKE_RENEWAL_CONTRAST,mortality,Snake/reptile renewal contrasts human mortality,contrast_mechanism,secondary_generalization,"Snake/reptile skin-renewal, rejuvenation, or immortality is explicitly contrasted with human mortality or lost human renewal.",A serpent associated with death or healing without explicit human-mortality contrast does not count.,v0.2_refined_MORT_03,,draft_frozen_for_bundle_design
MORT_FORBIDDEN_ACT,mortality,Forbidden act introduces/locks human mortality,loss_mechanism,secondary_generalization,A prohibited act/transgression is explicitly causal in introducing or fixing human mortality.,General punishment or hardship after transgression without mortality causation does not count.,v0.2_refined_MORT_04,,draft_frozen_for_bundle_design
MORT_FIRST_DEATH,mortality,First death etiological event,etiology_structure,secondary_generalization,Narrative explicitly explains the first human death or how dying first entered human existence.,Any famous death that is not etiological does not count.,v0.2_refined_MORT_05,,draft_frozen_for_bundle_design
MORT_FAILED_QUEST,mortality,Failed explicit immortality quest,loss_mechanism,secondary_generalization,A human/hero deliberately seeks immortality or permanent escape from death and fails.,"General search for healing, youth, or survival without immortality goal does not count.",v0.2_refined_MORT_06,,draft_frozen_for_bundle_design
MORT_IMMORTALITY_SUBSTANCE,mortality,Substance/object confers immortality or rejuvenation,immortality_mechanism,secondary_generalization,"A plant, food, drink, object, or material is explicitly capable of conferring immortality or major rejuvenation.",Ordinary medicine/food or divine immortality by status alone does not count.,v0.2_refined_MORT_07,,draft_frozen_for_bundle_design
MORT_CHOICE_MESSAGE_ERROR,mortality,Mortality follows choice/substitution/message error,loss_mechanism,secondary_generalization,"A choice, substitution, mistaken/changed message, or decision structure explicitly determines human mortality instead of immortality.",Interception by another agent is coded MORT_IMMORTALITY_INTERCEPTED; unrelated bad choice does not count.,v0.2_refined_MORT_08,,draft_frozen_for_bundle_design
MORT_LOST_IMMORTALITY_META,mortality,Humans lose a possible immortal state,derived_summary,derived_diagnostic,Derived summary when a specific coded event establishes that humans once possessed or could have possessed immortality and lost it.,Never count alongside the specific loss mechanism in primary similarity.,v0.2_reclass_MORT_01,,draft_frozen_for_bundle_design
UND_LIVING_DESCENT,underworld,Living descent to realm of dead,journey_status,secondary_generalization,A living human/deity intentionally enters a realm explicitly associated with the dead.,Dream/vision only or ordinary cave journey not identified with the dead does not count.,v0.2_refined_UND_01,,draft_frozen_for_bundle_design
UND_GATE_SEQUENCE,underworld,Sequential gates/checkpoints,access_structure,secondary_generalization,Entry/descent requires passage through two or more explicitly ordered gates/checkpoints.,A single threshold or unordered obstacles do not count.,v0.2_refined_UND_02,,draft_frozen_for_bundle_design
UND_ATTRIBUTE_STRIPPING,underworld,Loss of clothing/power/status during descent,entry_transformation,secondary_generalization,"Entrant is progressively or explicitly stripped of clothing, insignia, powers, or status as part of entry/descent.",Voluntary disguise or loss unrelated to underworld entry does not count.,v0.2_refined_UND_03,,draft_frozen_for_bundle_design
UND_CONDITIONAL_RETURN,underworld,Return impossible or condition-bound,return_rule,secondary_generalization,"Return from death/underworld is explicitly impossible or depends on a stated condition, substitution, test, or rule.",Ordinary difficulty escaping does not count.,v0.2_refined_UND_04,,draft_frozen_for_bundle_design
UND_JUDGMENT_DEAD,underworld,Formal judgment/evaluation of dead,postmortem_governance,secondary_generalization,"The dead undergo explicit judgment, evaluation, weighing, trial, or formal status allocation.",Automatic destination by social category without an evaluative process does not count.,v0.2_refined_UND_05,,draft_frozen_for_bundle_design
UND_BARRIER_CROSSING,underworld,River/barrier/ferryman threshold,access_structure,secondary_generalization,"Access to or exit from the realm of the dead requires crossing a named/functional river, barrier, bridge, or ferryman threshold.",Any water encountered during travel does not count.,v0.2_refined_UND_06,,draft_frozen_for_bundle_design
UND_FOOD_BINDS,underworld,Underworld food/drink binds entrant,return_rule,secondary_generalization,"Eating/drinking in the realm of the dead explicitly creates belonging, obligation, or inability/constraint on return.",Underworld feasting without return consequence does not count.,v0.2_refined_UND_07,,draft_frozen_for_bundle_design
UND_SEASONAL_FERTILITY_RETURN,underworld,Return explicitly linked to seasonal/fertility cycle,return_consequence,secondary_generalization,A return/absence cycle involving the underworld is explicitly tied in the narrative or ritual explanation to seasonal or fertility recurrence.,Modern allegorical interpretation alone does not count; the link must be source-supported.,v0.2_debias_UND_08,,draft_frozen_for_bundle_design
CULT_FIRE_TRANSFER,culture_hero,First/essential fire transferred to humans,good_transferred,secondary_generalization,A narrative explains acquisition/transfer of culturally essential fire to humans.,Ordinary fire use or divine fire without human acquisition does not count.,v0.2_refined_CULT_01,,draft_frozen_for_bundle_design
CULT_WRITING_GIFT,culture_hero,Writing/script introduced to humans,good_transferred,secondary_generalization,A deity/hero/ancestor explicitly introduces writing or script to humans.,"Spoken language, naming, divination marks, or generic knowledge without writing do not count.",v0.2_split_CULT_02,CULT_LANGUAGE_SYMBOLIC_GIFT,draft_frozen_for_bundle_design
CULT_LANGUAGE_SYMBOLIC_GIFT,culture_hero,Language/naming system introduced to humans,good_transferred,secondary_generalization,"A narrative explicitly explains introduction/assignment of human language, names, or a symbolic communication system.",Writing/script is CULT_WRITING_GIFT; ordinary teaching in an already linguistic society does not count.,v0.2_split_CULT_02,CULT_WRITING_GIFT,draft_frozen_for_bundle_design
CULT_AGRICULTURE_GIFT,culture_hero,Agriculture/crops introduced,good_transferred,secondary_generalization,"Cultivation, staple crops/seeds, or agricultural practice is explicitly introduced to humans by a named agent/event.",Wild plant discovery or ordinary farming instruction without origin frame does not count.,v0.2_refined_CULT_03,,draft_frozen_for_bundle_design
CULT_CRAFT_TECH_GIFT,culture_hero,Residual craft/technology introduced,good_transferred,secondary_generalization,"A craft or technology other than fire, writing/language, or agriculture is explicitly introduced to humans.",Use the more specific fire/writing/language/agriculture motif when applicable; do not double-count the same transfer here.,v0.2_refined_CULT_04,,draft_frozen_for_bundle_design
CULT_DECEPTIVE_ACQUISITION,culture_hero,Cultural good acquired through deception/theft,transfer_mechanism,secondary_generalization,"A culturally important good is acquired for humans through explicit deception, theft, trickery, or rule-breaking by an agent.",Do not infer a 'trickster archetype' from character identity; code only the narrated acquisition mechanism.,v0.2_debias_CULT_05,,draft_frozen_for_bundle_design
CULT_WITHHELD_KNOWLEDGE,culture_hero,Cultural knowledge/good initially withheld,access_rule,secondary_generalization,"A culturally important knowledge/technology/good is explicitly forbidden, monopolized, hidden, or withheld from humans before acquisition.",Scarcity or ignorance without an intentional withholding structure does not count.,v0.2_refined_CULT_06,,draft_frozen_for_bundle_design
CULT_PUNISHED_BENEFACTOR,culture_hero,Benefactor punished for aiding humans,transfer_consequence,secondary_generalization,An agent is explicitly punished because they transferred/provided a cultural good or knowledge to humans.,Punishment for unrelated misconduct does not count.,v0.2_refined_CULT_07,,draft_frozen_for_bundle_design
CULT_NONHUMAN_SOURCE_META,culture_hero,Source agent is nonhuman/supernatural,derived_actor_class,derived_diagnostic,Derived metadata flag classifying the source agent after a specific cultural-transfer motif is coded.,Never include as an additional primary similarity motif because it mechanically overlaps many transfer motifs.,v0.2_reclass_CULT_08,,draft_frozen_for_bundle_design
