motif_id,family,label,operational_seed,external_crosswalk,status
DIV_04,divine_conflict,Defeated body becomes cosmos,"Body of defeated primordial/divine adversary becomes cosmic material",,provisional
DIV_05,divine_conflict,Divine council,"Multiple gods deliberate/assign roles/judge in an explicit council",,provisional
DIV_06,divine_conflict,Stolen divine power,"Authority/power/tablets/attributes of divine rule are stolen or usurped",,provisional
DIV_07,divine_conflict,Transferred divine kingship,"Legitimate divine kingship/authority transfers between deities or generations",,provisional
DIV_08,divine_conflict,Primordial rebellion,"Early cosmic order includes rebellion by subordinate/younger supernatural beings",,provisional
MORT_01,mortality,Lost immortality,"Humans once had or could have had immortality but lose it",,provisional
MORT_02,mortality,Immortality intercepted,"An immortality-giving object/message/agent is stolen/diverted/intercepted",Berezkin H6d partly,provisional
MORT_03,mortality,Snake renewal contrast,"Snake/reptile renewal or immortality is explicitly contrasted with human mortality",Berezkin H5 partly,provisional
MORT_04,mortality,Forbidden act introduces death,"A prohibited action/transgression directly explains human mortality",,provisional
MORT_05,mortality,First death etiological event,"Narrative explains the first human death/origin of dying",,provisional
MORT_06,mortality,Failed immortality quest,"Hero/human explicitly seeks immortality and fails",,provisional
MORT_07,mortality,Immortality substance,"Plant/food/drink/object can confer immortality or rejuvenation",,provisional
MORT_08,mortality,Death chosen or substituted,"Mortality follows a choice/substitution/message error or equivalent decision structure",,provisional
UND_01,underworld,Living descent,"A living hero/deity enters the realm of the dead",,provisional
UND_02,underworld,Gate sequence,"Descent/entry requires passage through multiple gates/checkpoints",,provisional
UND_03,underworld,Loss of attributes,"Entrant is stripped of clothing/power/status/items during descent",,provisional
UND_04,underworld,Conditional return,"Return from death/underworld is impossible or depends on a stated condition",,provisional
UND_05,underworld,Judgment of dead,"Dead are evaluated/judged according to conduct/status or a formal test",,provisional
UND_06,underworld,River or barrier crossing,"Access to realm of dead requires crossing water/barrier/ferryman threshold",,provisional
UND_07,underworld,Underworld food binds,"Eating/drinking in underworld constrains return or establishes belonging",,provisional
UND_08,underworld,Cyclical return fertility,"Return from underworld is explicitly tied to seasonal/fertility cycle",,provisional
CULT_01,culture_hero,Fire acquired,"First/essential fire is stolen/brought/transferred to humans",Berezkin D4l partly,provisional
CULT_02,culture_hero,Writing or language gift,"Writing/language/names or comparable symbolic knowledge is given/brought to humans",,provisional
CULT_03,culture_hero,Agriculture gift,"Cultivation/seeds/crops/agricultural knowledge is introduced by a culture hero/deity",,provisional
CULT_04,culture_hero,Craft technology gift,"A key craft/technology is introduced by a culture hero/deity",,provisional
CULT_05,culture_hero,Trickster mediation,"A trickster-like agent mediates acquisition of a major cultural good",,provisional
CULT_06,culture_hero,Forbidden knowledge,"Knowledge/technology is initially forbidden/withheld from humans",,provisional
CULT_07,culture_hero,Punished benefactor,"Agent who benefits humans is punished for the transfer",,provisional
CULT_08,culture_hero,Nonhuman source of knowledge,"A deity/animal/ancestor/supernatural being is explicit source of a cultural skill",,provisional
