case_id,dependence_cluster,family,primary_bundle_id,canonical_source_lock,coverage_status,expected_observation_scope,negative_closure_candidate,translation_sensitivity_required,primary_analysis_eligible,notes
EGY_MK,EGYPTIAN_CONTINUUM,anthropogony,,,no_defensible_primary_bundle,not_observed_by_design,false,false,false,"No source bundle satisfying the frozen v0.2 primary-family observation design is declared; this is missing coverage, never motif absence."
EGY_MK,EGYPTIAN_CONTINUUM,divine_conflict,,,no_defensible_primary_bundle,not_observed_by_design,false,false,false,"No source bundle satisfying the frozen v0.2 primary-family observation design is declared; this is missing coverage, never motif absence."
EGY_NK,EGYPTIAN_CONTINUUM,flood,,,no_defensible_primary_bundle,not_observed_by_design,false,false,false,"No source bundle satisfying the frozen v0.2 primary-family observation design is declared; this is missing coverage, never motif absence."
EGY_NK,EGYPTIAN_CONTINUUM,anthropogony,,,no_defensible_primary_bundle,not_observed_by_design,false,false,false,"No source bundle satisfying the frozen v0.2 primary-family observation design is declared; this is missing coverage, never motif absence."
EGY_NK,EGYPTIAN_CONTINUUM,divine_conflict,B_DIV_EGY_NK,Primary papyrus + scholarly edition,closed_focal_narrative_clean_recode_required,in-window,true,true,true,Pilot controller codes are excluded; no v0.2 coder may see them.
VED_RV,VEDIC_CONTINUUM,flood,,,no_defensible_primary_bundle,not_observed_by_design,false,false,false,"No source bundle satisfying the frozen v0.2 primary-family observation design is declared; this is missing coverage, never motif absence."
VED_RV,VEDIC_CONTINUUM,anthropogony,B_ANTH_VED_RV,Jamison & Brereton / OUP reference translation,closed_selected_hymn_passage,in-window,true,true,true,Body-sacrifice/social-order motifs distinguished from divine-body material mixed into a formed human.
VED_RV,VEDIC_CONTINUUM,divine_conflict,B_DIV_VED_RV,Jamison & Brereton / OUP reference translation,closed_selected_hymn,in-window,true,true,true,Storm-serpent and storm-sea remain separate motifs.
GRC_ARCH,GREEK_ARCHAIC,flood,,,no_defensible_primary_bundle,not_observed_by_design,false,false,false,"No source bundle satisfying the frozen v0.2 primary-family observation design is declared; this is missing coverage, never motif absence."
GRC_ARCH,GREEK_ARCHAIC,anthropogony,,,no_defensible_primary_bundle,not_observed_by_design,false,false,false,"No source bundle satisfying the frozen v0.2 primary-family observation design is declared; this is missing coverage, never motif absence."
GRC_ARCH,GREEK_ARCHAIC,divine_conflict,B_DIV_GRC_ARCH,Greek text / Perseus-Loeb tradition,closed_selected_three_passage_bundle,in-window,true,case_specific,true,Expanded from the Pilot locator so actual effected succession/conflict is not inferred from a prophecy-only passage.
HEB_GEN,HEBREW_GENESIS,flood,B_FLOOD_HEB_GEN,Biblia Hebraica Stuttgartensia / source-critical scholarship,closed_composite_text_bundle,in-window,true,case_specific,true,"Primary bundle is the extant flood complex; composition layers are a planned sensitivity, not silently collapsed causal evidence."
HEB_GEN,HEBREW_GENESIS,anthropogony,B_ANTH_HEB_GEN,BHS / source-critical scholarship,closed_selected_two_passage_bundle,in-window,true,case_specific,true,Primary bundle is explicitly composite; results must survive or be qualified by source-layer split.
HEB_GEN,HEBREW_GENESIS,divine_conflict,,,no_defensible_primary_bundle,not_observed_by_design,false,false,false,"No source bundle satisfying the frozen v0.2 primary-family observation design is declared; this is missing coverage, never motif absence."
AVE_EARLY,AVESTAN_VIDEVDAD,flood,,,no_defensible_primary_bundle,not_observed_by_design,false,false,false,"No source bundle satisfying the frozen v0.2 primary-family observation design is declared; this is missing coverage, never motif absence."
AVE_EARLY,AVESTAN_VIDEVDAD,anthropogony,,,no_defensible_primary_bundle,not_observed_by_design,false,false,false,"No source bundle satisfying the frozen v0.2 primary-family observation design is declared; this is missing coverage, never motif absence."
AVE_EARLY,AVESTAN_VIDEVDAD,divine_conflict,,,no_defensible_primary_bundle,not_observed_by_design,false,false,false,"No source bundle satisfying the frozen v0.2 primary-family observation design is declared; this is missing coverage, never motif absence."
EGY_OK,EGYPTIAN_CONTINUUM,flood,,,no_defensible_primary_bundle,not_observed_by_design,false,false,false,"No source bundle satisfying the frozen v0.2 primary-family observation design is declared; this is missing coverage, never motif absence."
EGY_OK,EGYPTIAN_CONTINUUM,anthropogony,,,no_defensible_primary_bundle,not_observed_by_design,false,false,false,"No source bundle satisfying the frozen v0.2 primary-family observation design is declared; this is missing coverage, never motif absence."
EGY_OK,EGYPTIAN_CONTINUUM,divine_conflict,,,no_defensible_primary_bundle,not_observed_by_design,false,false,false,"No source bundle satisfying the frozen v0.2 primary-family observation design is declared; this is missing coverage, never motif absence."
VED_SB,VEDIC_CONTINUUM,flood,B_FLOOD_VED_SB,Madhyandina text; Eggeling SBE translation as public anchor,closed_focal_narrative,in-window,true,true,true,Separate later-Vedic case; never back-project to Rigveda.
VED_SB,VEDIC_CONTINUUM,anthropogony,,,no_defensible_primary_bundle,not_observed_by_design,false,false,false,"No source bundle satisfying the frozen v0.2 primary-family observation design is declared; this is missing coverage, never motif absence."
VED_SB,VEDIC_CONTINUUM,divine_conflict,,,no_defensible_primary_bundle,not_observed_by_design,false,false,false,"No source bundle satisfying the frozen v0.2 primary-family observation design is declared; this is missing coverage, never motif absence."
CHN_YAO,OLD_CHINESE_CONTINUUM,flood,B_FLOOD_CHN_YAO,Received Chinese text + source-critical scholarship,closed_selected_passage_chronology_uncertain,uncertain,true,true,true,"This is deliberately a flood-control contrast, not assumed to be an exterminatory deluge."
CHN_YAO,OLD_CHINESE_CONTINUUM,anthropogony,,,no_defensible_primary_bundle,not_observed_by_design,false,false,false,"No source bundle satisfying the frozen v0.2 primary-family observation design is declared; this is missing coverage, never motif absence."
CHN_YAO,OLD_CHINESE_CONTINUUM,divine_conflict,,,no_defensible_primary_bundle,not_observed_by_design,false,false,false,"No source bundle satisfying the frozen v0.2 primary-family observation design is declared; this is missing coverage, never motif absence."
CHN_HUAI,OLD_CHINESE_CONTINUUM,flood,,,no_defensible_primary_bundle,not_observed_by_design,false,false,false,"No source bundle satisfying the frozen v0.2 primary-family observation design is declared; this is missing coverage, never motif absence."
CHN_HUAI,OLD_CHINESE_CONTINUUM,anthropogony,,,no_defensible_primary_bundle,not_observed_by_design,false,false,false,"No source bundle satisfying the frozen v0.2 primary-family observation design is declared; this is missing coverage, never motif absence."
CHN_HUAI,OLD_CHINESE_CONTINUUM,divine_conflict,,,no_defensible_primary_bundle,not_observed_by_design,false,false,false,"No source bundle satisfying the frozen v0.2 primary-family observation design is declared; this is missing coverage, never motif absence."
